Driver_ID,Total_Trips,Total_Harsh_Acceleration,Total_Harsh_Braking,Total_Sudden_Turns,Total_High_Speed_Events,Avg_Risk_Events_Per_10_Min,Avg_Speed,Max_Speed,Avg_Acceleration,Max_Acceleration,Avg_Gyro,Max_Gyro,Driver_Name,Age,Gender,License_Experience_Years,Home_Hub,Harsh_Acceleration_Risk,Harsh_Braking_Risk,Sudden_Turn_Risk,High_Speed_Risk,Risk_Frequency_Risk,Driver_Risk_Score,Risk_Category,Total_Risk_Events,Risk_Events_Per_Trip,Risk_Rank,Primary_Risk_Factor,Braking_Contribution,Acceleration_Contribution,Turning_Contribution,Speed_Contribution,Frequency_Contribution,Score_Check,Risk_Explanation
D01,15,11,14,31,19,1.7890443660910584,25.3815720055194,54.4,1.0263681915190024,1.6397326001516224,5.231413513194537,54.095155975373615,Meena Iyer,36,Male,7,Rajajinagar,21.666666666666668,43.333333333333336,90.0,56.666666666666664,66.66666666666666,51.583333333333336,Moderate Risk,75,5.0,16,Sudden turning,13.0,5.416666666666667,18.0,8.5,6.666666666666666,51.583333333333336,Sudden turning is the strongest contributor to the driver's relative risk profile.
D02,15,15,20,18,13,1.8379934647304328,22.6769306422654,50.9,1.049961824737943,1.813245984415793,5.097915902734344,52.91958144203335,Senthil Nair,36,Male,2,HSR Layout,48.333333333333336,71.66666666666667,40.0,45.0,70.0,55.333333333333336,Moderate Risk,66,4.4,14,Harsh braking,21.5,12.083333333333334,8.0,6.75,7.0,55.333333333333336,Harsh braking is the strongest contributor to the driver's relative risk profile.
D03,15,44,44,30,45,3.3708728797530934,22.85275054853753,68.8,1.0335052848415551,1.4760745238638868,5.736857507732133,54.57410832986646,Vignesh Murugan,35,Male,1,Bommanahalli,86.66666666666667,86.66666666666667,86.66666666666667,83.33333333333334,80.0,85.5,High Risk,163,10.87,5,Harsh acceleration,26.0,21.666666666666668,17.333333333333336,12.500000000000002,8.0,85.5,Harsh acceleration is the strongest contributor to the driver's relative risk profile.
D04,15,13,15,27,22,1.634953551698522,24.29265573002465,51.6,1.0130472440037144,1.5611358044705783,5.287397518517655,54.67139379968285,Ganesh Kannan,30,Female,1,HSR Layout,33.33333333333333,53.333333333333336,71.66666666666667,70.0,53.333333333333336,54.50000000000001,Moderate Risk,77,5.13,15,Sudden turning,16.0,8.333333333333332,14.333333333333336,10.5,5.333333333333334,54.50000000000001,Sudden turning is the strongest contributor to the driver's relative risk profile.
D05,15,10,7,12,2,0.5659983497381872,23.017252003642245,47.8,1.0118795727392824,1.662805761356389,3.934284265226978,45.81520599102442,Manoj Kumar,41,Male,4,Rajajinagar,16.666666666666664,8.333333333333332,21.666666666666668,25.0,10.0,15.75,Low Risk,31,2.07,27,High-speed events,2.4999999999999996,4.166666666666666,4.333333333333334,3.75,1.0,15.75,High-speed events is the strongest contributor to the driver's relative risk profile.
D06,15,57,48,35,73,4.461657991584551,25.581105871767747,73.6,1.0223316885744864,1.3727647285678637,5.539019228212797,54.20178687091414,Bhavani Raj,34,Female,14,Electronic City,100.0,90.0,96.66666666666667,96.66666666666667,93.33333333333333,95.16666666666667,High Risk,213,14.2,2,Harsh acceleration,27.0,25.0,19.333333333333336,14.5,9.333333333333334,95.16666666666667,Harsh acceleration is the strongest contributor to the driver's relative risk profile.
D07,15,14,19,26,24,1.8708613769451687,25.27674021687509,54.4,1.013735814939005,1.4930766892561147,4.67159736958022,53.351924051527895,Kavya Pillai,31,Male,12,Bommanahalli,40.0,65.0,63.33333333333333,76.66666666666667,73.33333333333333,61.0,Moderate Risk,83,5.53,10,High-speed events,19.5,10.0,12.666666666666666,11.5,7.333333333333333,61.0,High-speed events is the strongest contributor to the driver's relative risk profile.
D08,15,16,14,22,16,1.4021416090538554,24.610111817266983,56.3,1.0160413484731778,1.7833984411790875,4.327752344513681,52.290291641948215,Arun Raj,23,Male,10,Bellandur,60.0,43.333333333333336,50.0,50.0,36.666666666666664,49.166666666666664,Moderate Risk,68,4.53,17,Harsh acceleration,13.0,15.0,10.0,7.5,3.6666666666666665,49.166666666666664,Harsh acceleration is the strongest contributor to the driver's relative risk profile.
D09,15,13,9,3,0,0.5831091921962219,25.708228776742622,40.7,1.0111362469569811,1.7604158599603674,3.4629135809360423,52.66760294526418,Rajesh Raj,42,Male,8,Bellandur,33.33333333333333,20.0,3.3333333333333335,8.333333333333332,13.333333333333334,17.58333333333333,Low Risk,25,1.67,26,Harsh acceleration,6.0,8.333333333333332,0.6666666666666667,1.2499999999999998,1.3333333333333335,17.58333333333333,Harsh acceleration is the strongest contributor to the driver's relative risk profile.
D10,15,13,14,24,13,1.310200614093829,21.46428029134425,56.7,1.0251637871400403,1.78816833659474,4.579929170308935,55.000745449493685,Mohan Pillai,31,Male,4,Yeshwanthpur,33.33333333333333,43.333333333333336,60.0,45.0,33.33333333333333,43.416666666666664,Moderate Risk,64,4.27,20,Sudden turning,13.0,8.333333333333332,12.0,6.75,3.333333333333333,43.416666666666664,Sudden turning is the strongest contributor to the driver's relative risk profile.
D11,15,8,8,6,0,0.5144634461301129,25.2706244495872,41.6,1.009055956164328,1.6633574480549873,3.703898699916593,53.482829020163095,Mohan Iyer,35,Male,6,Yeshwanthpur,13.333333333333334,13.333333333333334,6.666666666666667,8.333333333333332,6.666666666666667,10.583333333333334,Low Risk,22,1.47,28,Harsh acceleration,4.0,3.3333333333333335,1.3333333333333335,1.2499999999999998,0.6666666666666667,10.583333333333334,Harsh acceleration is the strongest contributor to the driver's relative risk profile.
