Driver_ID,Total_Trips,Total_Harsh_Acceleration,Total_Harsh_Braking,Total_Sudden_Turns,Total_High_Speed_Events,Avg_Risk_Events_Per_10_Min,Avg_Speed,Max_Speed,Avg_Acceleration,Max_Acceleration,Avg_Gyro,Max_Gyro,Driver_Name,Age,Gender,License_Experience_Years,Home_Hub
D01,15,11,14,31,19,1.7890443660910584,25.381572005519402,54.4,1.0263681915190024,1.6397326001516224,5.231413513194537,54.095155975373615,Meena Iyer,36,Male,7,Rajajinagar
D02,15,15,20,18,13,1.8379934647304332,22.6769306422654,50.9,1.049961824737943,1.8132459844157935,5.097915902734344,52.91958144203335,Senthil Nair,36,Male,2,HSR Layout
D03,15,44,44,30,45,3.3708728797530934,22.85275054853753,68.8,1.0335052848415551,1.4760745238638868,5.736857507732133,54.57410832986646,Vignesh Murugan,35,Male,1,Bommanahalli
D04,15,13,15,27,22,1.6349535516985219,24.292655730024652,51.6,1.0130472440037144,1.5611358044705785,5.287397518517655,54.67139379968285,Ganesh Kannan,30,Female,1,HSR Layout
D05,15,10,7,12,2,0.5659983497381872,23.017252003642245,47.8,1.0118795727392824,1.662805761356389,3.934284265226978,45.81520599102442,Manoj Kumar,41,Male,4,Rajajinagar
D06,15,57,48,35,73,4.461657991584551,25.581105871767747,73.6,1.0223316885744864,1.3727647285678635,5.539019228212797,54.20178687091414,Bhavani Raj,34,Female,14,Electronic City
D07,15,14,19,26,24,1.8708613769451692,25.276740216875094,54.4,1.013735814939005,1.4930766892561147,4.67159736958022,53.351924051527895,Kavya Pillai,31,Male,12,Bommanahalli
D08,15,16,14,22,16,1.4021416090538554,24.610111817266986,56.3,1.0160413484731778,1.7833984411790877,4.327752344513681,52.290291641948215,Arun Raj,23,Male,10,Bellandur
D09,15,13,9,3,0,0.5831091921962219,25.708228776742626,40.7,1.0111362469569813,1.7604158599603674,3.4629135809360423,52.66760294526418,Rajesh Raj,42,Male,8,Bellandur
D10,15,13,14,24,13,1.310200614093829,21.464280291344252,56.7,1.0251637871400403,1.78816833659474,4.579929170308935,55.000745449493685,Mohan Pillai,31,Male,4,Yeshwanthpur
D11,15,8,8,6,0,0.5144634461301129,25.270624449587196,41.6,1.009055956164328,1.6633574480549873,3.703898699916593,53.482829020163095,Mohan Iyer,35,Male,6,Yeshwanthpur
